#clade_name	NCBI_tax_id	additional_species	DM055	LG050	DM093	LG049	LG006	LG043	DM004	DM057	DM025	LG023	LG030	DM001	DM063	DM074	LG052	LG045	DM065	DM008	LG025	DM046	LG038	DM019	LG046	DM007	DM087	DM051	LG026	LG034	DM002	LG001
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231		0.08006	0.30319	0.6814	0.07432	0.09133	0.42638	0.3877		0.06489	0.00412	0.44219	0.18726	1.01797	0.15066	0.04489	0.1802	0.00122	0.29803	0.05069	0.1392	1.27207		0.36229	0.04552	0.64869	0.2828	0.40827	0.22373	0.18133	0.12045
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	2|1239|186801||		0.05584	0.41913	8.151	7.86904	6.19247	1.7993	7.01299	0.83847	6.13914	0.87493	3.59221	9.94023	3.90126	0.15161	1.73082	33.44879	0.20718	5.27658	10.93799	13.04573	7.48147	0.49529	1.03125	2.84999	24.53339	0.25578	11.82408	9.10378	2.66625	1.0024
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae	2|1239|186801|186802|216572		0.05428	0.58076	1.10613	2.06429	0.05709	0.41853	0.20225	0.38437	0.30141	0.60384	0.45066	1.13124	0.53431	0.95456	0.24725	0.36269	0.62193	0.65472	0.93899	0.49504	0.72403	0.04374	0.14191	0.272	1.75474	0.33688	0.32872	0.57297	0.24043	0.17594
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826		0.04784	0.03961	0.3276	0.08693	0.07348	0.09558	0.14003	0.17178	0.0442	0.00598	0.01566	0.05585	0.04456	0.02309	0.02477	0.12096	0.01465	0.23296	0.09627	0.03353	0.0845	0.01214	0.1495	0.11508	0.45658	0.00618	0.07076	0.13831	0.02999	0.05571
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptococcaceae	2|1239|186801|186802|186807		0.03866	0.00702	0.01318	0.01969	0.02305		0.02724	0.0297	0.01776	0.03863				0.00158	0.03466	0.12218	0.0606	0.04316	0.00871	0.03022	0.01111			0.02609			0.08407	0.02958	0.01894	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958		0.01454		0.00033					0.00102	0.07691				0.00442						0.00407					0.0005				0.00882		
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806		0.01394	0.00116	0.90422	0.73222	0.61963	0.67813	0.22447	0.93411	0.3572	0.2349	0.0251	0.07346	0.21029	0.32786	0.01004	0.53911	0.81577	0.53293	0.49572	0.21611	0.3935	0.27309	0.51048	0.60649	0.34361	0.58549	0.35462	0.14511	0.31342	0.00889
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049		0.00272	6e-05	0.02194	0.00204		0.0129			0.00115			0.00933		0.00995	0.00577	0.02121	0.00318	0.00203			0.00064	0.00482	0.00272	0.00082	0.16556	0.0115	0.00062		0.00261	0.0047
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified|f__Candidatus_Saccharibacteria_unclassified	2|95818|||		0.00221		0.00493	0.00203		0.00221					0.00471			0.00372	0.00377	0.00433					0.0034	0.00424			0.02941		0.00073		0.00894	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2|976|200643|171549|171552|838		75.8545	45.59231	17.77955	17.56229	28.41238		46.1179	41.52992	16.34906	67.39429	40.96363	20.57084	28.81731	39.60204	62.9376	0.57453	60.11293	12.81562	14.22679	44.37953	15.53034	64.83886	13.11868	50.24467	4.72622	43.63768	0.0973	45.54943	29.95529	46.47045
